trip_name,date_start,date_end,place,place_country,place_continent,lat,lon,date_added
2016 Nov England Nottingham,26/11/2016,27/11/2016,Nottingham,England,England,52.954784,-1.158109,12/01/2024
2016 Oct South America,28/10/2016,05/11/2016,Cusco,Peru,South America,-13.53195,-71.967461,12/01/2024
2016 Oct South America,28/10/2016,05/11/2016,Inca Trail,Peru,South America,-13.1631,-72.545,12/01/2024
2016 Oct South America,28/10/2016,05/11/2016,Puno,Peru,South America,-15.83915,-70.029167,12/01/2024
2016 Oct South America,05/11/2016,10/11/2016,Uyuni,Bolivia,South America,-20.4604,-66.8261,12/01/2024
2016 Oct South America,05/11/2016,10/11/2016,La Paz,Bolivia,South America,-16.4897,-68.1193,12/01/2024
2016 Oct South America,10/11/2016,12/11/2016,Santiago,Chile,South America,-33.448891,-70.669266,12/01/2024
2016 Oct South America,10/11/2016,12/11/2016,San Pedro,Chile,South America,-33.89121,-71.46396,12/01/2024
2016 Dec Slovenia,09/12/2016,11/12/2016,Ljubljana,Slovenia,Europe,46.05143,14.50597,12/01/2024
2017 Jan Portugal,13/01/2017,15/01/2017,Lisbon,Portugal,Europe,38.722252,-9.139337,12/01/2024
2017 Feb USA,23/02/2017,27/02/2017,New York,USA,North America,40.712776,-74.005974,12/01/2024
2017 Feb Norway,03/02/2017,05/02/2017,Bergen,Norway,Europe,60.391262,5.322054,12/01/2024
2017 Apr Macedonia,14/04/2017,17/04/2017,Ohrid,Macedonia,Europe,41.11838,20.79999,12/01/2024
2017 May Monaco,06/05/2017,07/05/2017,Monaco,Monaco,Europe,43.738419,7.424616,12/01/2024
2017 May France,07/05/2017,07/05/2017,Nice,France,Europe,43.710175,7.261953,12/01/2024
2017 Jun Northern Ireland,23/06/2017,25/06/2017,Belfast,Northern Ireland,Europe,54.597286,-5.93012,12/01/2024
2017 Jun Northern Ireland,23/06/2017,25/06/2017,Antrim,Northern Ireland,Europe,55.2408,-6.5116,12/01/2024
2017 Jun Spain,10/06/2017,11/06/2017,Majorca,Spain,Europe,39.56945,2.64995,12/01/2024
2017 Aug Cyprus,12/08/2017,19/08/2017,Paphos,Cyprus,Europe,34.772,32.4297,12/01/2024
2017 Aug Cyprus,12/08/2017,19/08/2017,Troodos,Cyprus,Europe,34.84793,32.80705,12/01/2024
2017 Aug Cyprus,12/08/2017,19/08/2017,Limassol,Cyprus,Europe,34.669628,33.038212,12/01/2024
2017 Aug Cyprus,12/08/2017,19/08/2017,Famagusta,Cyprus,Europe,34.9889,34.00026,12/01/2024
2017 Aug India,27/08/2017,02/09/2017,Kochi,India,Asia,9.93925,76.259628,12/01/2024
2017 Aug India,27/08/2017,02/09/2017,Munnar,India,Asia,10.0875,77.0617,12/01/2024
2017 Aug India,27/08/2017,02/09/2017,Thekkady,India,Asia,9.60177,77.17082,12/01/2024
2017 Aug India,27/08/2017,02/09/2017,Aleppy,India,Asia,9.4981,76.3388,12/01/2024
2017 Sep Germany,03/09/2017,03/09/2017,Dusseldorf,Germany,Europe,51.2277,6.7735,12/01/2024
2017 Sep England Cotswolds,23/09/2017,24/09/2017,Cotswolds,England,England,51.795,-1.8839,12/01/2024
2017 Oct Finland & Estonia,13/10/2017,14/10/2017,Helsinki,Finland,Europe,60.1699,24.9384,12/01/2024
2017 Oct Finland & Estonia,13/10/2017,14/10/2017,Nuuksio,Finland,Europe,60.2768,24.5897,12/01/2024
2017 Oct Finland & Estonia,14/10/2017,17/10/2017,Tallinn,Estonia,Europe,59.437,24.7536,12/01/2024
2017 Dec South Africa,22/12/2017,30/12/2017,Cape Town,South Africa,Africa,-33.9249,18.4241,12/01/2024
2017 Dec South Africa,22/12/2017,30/12/2017,Garden Route,South Africa,Africa,-34.0507,24.9102,12/01/2024
2017 Dec South Africa,22/12/2017,30/12/2017,Addo,South Africa,Africa,-33.5267,25.7117,12/01/2024
2017 Dec Luxemburg,08/12/2017,11/12/2017,Luxemburg City,Luxemburg,Europe,49.6116,6.1319,12/01/2024
2018 Jan Jersey,20/01/2018,21/01/2018,Jersey,Jersey,England,49.2144,-2.1312,12/01/2024
2018 Jan Italy,31/01/2018,03/02/2018,Florence,Italy,Europe,43.7696,11.2558,12/01/2024
2018 Jan Italy,31/01/2018,03/02/2018,Rome,Italy,Europe,41.9028,12.4964,12/01/2024
2018 Mar Portugal,19/03/2018,27/03/2018,Madeira,Portugal,Europe,32.7607,-16.9595,12/01/2024
2018 Apr Spain,13/04/2018,15/04/2018,Murcia,Spain,Europe,37.9922,-1.1307,12/01/2024
2018 Apr Spain,13/04/2018,15/04/2018,Elche,Spain,Europe,38.2699,-0.7126,12/01/2024
2018 May France,11/05/2018,13/05/2018,Hauts-De-France,France,Europe,50.4801,2.7937,12/01/2024
2018 Jun Iceland,22/06/2018,24/06/2018,Rejkavik,Iceland,Europe,64.126518,-21.817438,12/01/2024
2018 Jul England Suffolk,14/07/2018,14/07/2018,Suffolk,England,England,52.152362,1.601548,12/01/2024
2018 Jul Greece,25/07/2018,29/07/2018,Thassos,Greece,Europe,40.6845,24.6484,12/01/2024
2018 Aug Italy,14/08/2018,19/08/2018,Sicily,Italy,Europe,38.1157,13.3615,12/01/2024
2018 Sep France,21/09/2018,23/09/2018,Dieppe,France,Europe,49.923,1.0775,12/01/2024
2018 Oct Iceland,24/10/2018,26/10/2018,Rejkavik,Iceland,Europe,64.126518,-21.817438,12/01/2024
2018 Nov Wales,03/11/2018,04/11/2018,Brecon Beacons,Wales,Europe,51.8815,-3.4435,12/01/2024
2018 Nov UAE,14/11/2018,15/11/2018,Dubai,UAE,Asia,25.2048,55.2708,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Kyoto,Japan,Asia,35.0116,135.768,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Hiroshima,Japan,Asia,34.3852,132.4553,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Itsukushima,Japan,Asia,34.2797,132.3114,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Koyasan,Japan,Asia,34.2167,135.5833,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Hakone,Japan,Asia,35.2324,139.1069,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Tokyo,Japan,Asia,35.6895,139.6917,12/01/2024
2018 Nov Japan,16/11/2018,25/11/2018,Nikko,Japan,Asia,36.7199,139.6982,12/01/2024
2018 Dec France,31/12/2018,03/01/2019,Bordeaux,France,Europe,44.836151,-0.580816,12/01/2024
2019 Jan Holland,11/01/2019,14/01/2019,Amsterdam,Holland,Europe,52.373169,4.89066,12/01/2024
2019 Jan Scotland,30/01/2019,03/02/2019,Highlands,Scotland,Europe,57.2999988,-4.4499982,12/01/2024
2019 Jan Scotland,30/01/2019,03/02/2019,Isle Of Skye,Scotland,Europe,57.5071,-6.1831,12/01/2024
2019 Mar Italy,30/03/2019,02/04/2019,Sardinia,Italy,Europe,40.3036,9.5375,12/01/2024
2019 Apr Greece,24/04/2019,28/04/2019,Crete,Greece,Europe,35.3387,25.1442,12/01/2024
2019 Jun Mauritius,16/06/2019,24/06/2019,Pamplemousses,Mauritius,Asia,-20.0463149,57.5258882,12/01/2024
2019 Jun Mauritius,16/06/2019,24/06/2019,Black River,Mauritius,Asia,-20.4448,57.3288,12/01/2024
2019 Jul Greece,12/07/2019,15/07/2019,Thessaloniki,Greece,Europe,40.6401,22.9444,12/01/2024
2019 Sep USA,05/09/2019,10/09/2019,Las Vegas,USA,North America,36.1699,-115.1398,12/01/2024
2019 Sep USA,05/09/2019,10/09/2019,Arizona,USA,North America,36.107,-112.113,12/01/2024
2019 Oct Greece,12/10/2019,16/10/2019,Rhodes: Rhodes Town,Greece,Europe,36.2433,27.9718,12/01/2024
2019 Oct Greece,12/10/2019,12/10/2019,Rhodes: Lindos,Greece,Europe,36.0918,28.0857,12/01/2024
2019 Oct Greece,12/10/2019,16/10/2019,Rhodes: Eleousa,Greece,Europe,36.2751,28.0376,12/01/2024
2019 Nov Lithuania,30/11/2019,02/12/2019,Vilnius,Lithuania,Europe,54.6872,25.2797,12/01/2024
2019 Nov Lithuania,30/11/2019,02/12/2019,Kaunas,Lithuania,Europe,54.8985,23.9036,12/01/2024
2019 Nov Lithuania,30/11/2019,02/12/2019,Hill Of Crosses,Lithuania,Europe,56.0152,23.4165,12/01/2024
2019 Nov Latvia,30/11/2019,02/12/2019,Rundale Palace,Latvia,Europe,56.4134,24.0245,12/01/2024
2019 Nov Latvia,30/11/2019,02/12/2019,Riga,Latvia,Europe,56.9496,24.1052,12/01/2024
2019 Dec Scotland,31/12/2019,02/01/2020,Glasgow,Scotland,Europe,55.8642,-4.2518,12/01/2024
2019 Dec Scotland,31/12/2019,02/01/2020,Balloch,Scotland,Europe,56.0027,-4.5801,12/01/2024
2020 Jan France,31/01/2020,02/02/2020,Marseille,France,Europe,43.2965,5.3698,12/01/2024
2020 Jan France,31/01/2020,02/02/2020,Cassis,France,Europe,43.2151,5.5371,12/01/2024
2021 Jul Cyprus,31/07/2021,21/08/2021,Limassol,Cyprus,Europe,34.669628,33.038212,12/01/2024
2021 Jul Cyprus,31/07/2021,21/08/2021,Paphos,Cyprus,Europe,34.772,32.4297,12/01/2024
2021 Jul Cyprus,31/07/2021,21/08/2021,Famagusta,Cyprus,Europe,34.9889,34.00026,12/01/2024
2021 Jul Cyprus,31/07/2021,21/08/2021,Akamas,Cyprus,Europe,35.05,32.3,12/01/2024
2021 Jul Cyprus,31/07/2021,21/08/2021,Troodos,Cyprus,Europe,34.84793,32.80705,12/01/2024
2021 Oct Spain,05/10/2021,11/10/2021,Fuerteventura,Spain,Europe,28.3587,-14.0537,12/01/2024
2021 Oct Spain,07/10/2021,07/10/2021,Lanzarote,Spain,Europe,29.0469,-13.59,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Tivat,Montenegro,Europe,42.435,18.7066,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Skadar,Montenegro,Europe,42.1837,19.2915,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Perast,Montenegro,Europe,42.4899,18.7185,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Kotor,Montenegro,Europe,42.4247,18.7712,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Cetinje,Montenegro,Europe,42.3931,18.9116,12/01/2024
2022 Feb Montenegro,01/02/2022,05/02/2022,Budva,Montenegro,Europe,42.2911,18.8403,12/01/2024
2022 Mar Cyprus,23/03/2022,27/03/2022,Paphos,Cyprus,Europe,34.772,32.4297,12/01/2024
2022 Mar Cyprus,23/03/2022,27/03/2022,Limassol,Cyprus,Europe,34.669628,33.038212,12/01/2024
2022 Mar Iceland,31/03/2022,03/04/2022,Iceland,Iceland,Europe,64.126518,-21.817438,12/01/2024
2022 May England Salisbury,05/05/2022,05/05/2022,Salisbury,England,Europe,51.0688,-1.7945,12/01/2024
2022 Jun England Dorset,18/06/2022,18/06/2022,Bournemouth,England,Europe,50.722,-1.8667,12/01/2024
2022 Jul Greece,04/07/2022,11/07/2022,Skiathos,Greece,Europe,39.1635,23.4902,12/01/2024
2022 Jul Greece,04/07/2022,11/07/2022,Skopolos,Greece,Europe,39.1251,23.68,12/01/2024
2022 Jul England Dorset,30/07/2022,31/07/2022,"Corfe Castle, Dorset",England,Europe,50.6395,-2.0566,12/01/2024
2022 Aug France,20/08/2022,21/08/2022,Paris,France,Europe,48.8674,2.7836,12/01/2024
2022 Nov Ireland,17/11/2022,20/11/2022,Cork,Ireland,Europe,51.8985,-8.4756,12/01/2024
2022 Nov Ireland,17/11/2022,20/11/2022,Blarney,Ireland,Europe,51.9338,-8.5612,12/01/2024
2023 Feb Spain,22/02/2023,01/03/2023,Tenerife,Spain,Europe,28.2409,-16.8378,12/01/2024
2023 Sep France,30/09/2023,30/09/2023,Montpellier,France,Europe,43.6108,3.8767,12/01/2024
2023 Sep France,30/09/2023,30/09/2023,Palavas,France,Europe,43.5289,3.9335,12/01/2024
2023 Dec Cyprus,31/12/2023,09/01/2024,Troodos,Cyprus,Europe,34.84793,32.80705,12/01/2024
2023 Dec Cyprus,31/12/2023,09/01/2024,Limassol,Cyprus,Europe,34.669628,33.038212,12/01/2024
